gene_id	condition	log2_fold_change	p_value	p_value_corrected
100422846	Experimental	-1.6014333575426922	0.03571428571428571	0.5343257807232763
219931	Experimental	-0.30129255363369917	0.03571428571428571	0.5343257807232763
116535	Experimental	-2.3911482823748944	0.03571428571428571	0.5343257807232763
1374	Experimental	-1.402585458780457	0.03571428571428571	0.5343257807232763
102465451	Experimental	-1.5300999596304323	0.03571428571428571	0.5343257807232763
105369372	Experimental	-3.291533831191924	0.03571428571428571	0.5343257807232763
105369378	Experimental	2.791838943289512	0.03571428571428571	0.5343257807232763
1008	Experimental	-2.3965556709290934	0.03571428571428571	0.5343257807232763
58473	Experimental	0.5827081447049866	0.03571428571428571	0.5343257807232763
642612	Experimental	-1.5894457301272262	0.03571428571428571	0.5343257807232763
57093	Experimental	-3.075295658531505	0.03571428571428571	0.5343257807232763
23682	Experimental	1.0773651486568376	0.03571428571428571	0.5343257807232763
101929003	Experimental	-0.853397978776393	0.03571428571428571	0.5343257807232763
8322	Experimental	1.107001283708225	0.03571428571428571	0.5343257807232763
103091866	Experimental	0.784155916307341	0.03571428571428571	0.5343257807232763
170690	Experimental	-0.8730841431571928	0.03571428571428571	0.5343257807232763
107986401	Experimental	-1.2371829245191828	0.03571428571428571	0.5343257807232763
100505738	Experimental	-5.705586377152293	0.03571428571428571	0.5343257807232763
107984360	Experimental	-1.3855701079295255	0.03571428571428571	0.5343257807232763
100505806	Experimental	-4.471393854004064	0.03571428571428571	0.5343257807232763
23194	Experimental	3.3527237841917183	0.03571428571428571	0.5343257807232763
100507050	Experimental	-2.8758650394382483	0.03571428571428571	0.5343257807232763
143570	Experimental	0.8050198471907475	0.03571428571428571	0.5343257807232763
105374666	Experimental	-2.2125993464401823	0.03571428571428571	0.5343257807232763
283209	Experimental	0.2700231373761439	0.03571428571428571	0.5343257807232763
728411	Experimental	-1.0173554054103722	0.03571428571428571	0.5343257807232763
51400	Experimental	-1.3291790134396229	0.03571428571428571	0.5343257807232763
26005	Experimental	-1.4059204821963638	0.03571428571428571	0.5343257807232763
9854	Experimental	1.1237744553765296	0.03571428571428571	0.5343257807232763
728175	Experimental	-3.445732637544615	0.03571428571428571	0.5343257807232763
79849	Experimental	-1.539197174073085	0.03571428571428571	0.5343257807232763
105377584	Experimental	-3.0012804424548327	0.03571428571428571	0.5343257807232763
2120	Experimental	0.8886313415464521	0.03571428571428571	0.5343257807232763
6999	Experimental	-4.4105186851460605	0.03571428571428571	0.5343257807232763
2891	Experimental	-3.3488473961458634	0.03571428571428571	0.5343257807232763
112268471	Experimental	-2.6303812520804835	0.03571428571428571	0.5343257807232763
23710	Experimental	0.5905117815633733	0.03571428571428571	0.5343257807232763
51267	Experimental	-3.091153834364071	0.03571428571428571	0.5343257807232763
105377512	Experimental	-0.9166598157207292	0.03571428571428571	0.5343257807232763
9976	Experimental	-4.663228070057231	0.03571428571428571	0.5343257807232763
80824	Experimental	0.6443197441390803	0.03571428571428571	0.5343257807232763
408186	Experimental	0.8283624458857171	0.03571428571428571	0.5343257807232763
112268090	Experimental	-1.6785995771384783	0.03571428571428571	0.5343257807232763
6515	Experimental	1.752396595345868	0.03571428571428571	0.5343257807232763
406985	Experimental	-1.374030604954587	0.03571428571428571	0.5343257807232763
114548	Experimental	1.7094904392034371	0.03571428571428571	0.5343257807232763
6913	Experimental	-2.7279556004377725	0.03571428571428571	0.5343257807232763
7092	Experimental	-4.9481223887962775	0.03571428571428571	0.5343257807232763
83461	Experimental	-1.468336971284107	0.03571428571428571	0.5343257807232763
2784	Experimental	-1.1642903272959844	0.03571428571428571	0.5343257807232763
3	Experimental	-3.6593839590711403	0.03571428571428571	0.5343257807232763
51802	Experimental	-3.080269750668087	0.03571428571428571	0.5343257807232763
55507	Experimental	2.281976676684587	0.03571428571428571	0.5343257807232763
283422	Experimental	-4.822959787205242	0.03571428571428571	0.5343257807232763
1663	Experimental	-1.3467340544253545	0.03571428571428571	0.5343257807232763
4803	Experimental	1.4682192934307527	0.03571428571428571	0.5343257807232763
100506606	Experimental	-2.3390735197424606	0.03571428571428571	0.5343257807232763
105369710	Experimental	-0.9166598157207292	0.03571428571428571	0.5343257807232763
105377485	Experimental	-1.3487505791234666	0.03571428571428571	0.5343257807232763
85462	Experimental	-1.3255791303521096	0.03571428571428571	0.5343257807232763
55356	Experimental	0.7254286488094636	0.03571428571428571	0.5343257807232763
126868	Experimental	-5.147408895359782	0.03571428571428571	0.5343257807232763
6660	Experimental	-1.8699000399839227	0.03571428571428571	0.5343257807232763
54798	Experimental	-3.9206598888962514	0.03571428571428571	0.5343257807232763
112268093	Experimental	-2.115668899317365	0.03571428571428571	0.5343257807232763
6489	Experimental	-4.175387099692343	0.03571428571428571	0.5343257807232763
2266	Experimental	-2.675284822874409	0.03571428571428571	0.5343257807232763
79785	Experimental	-2.2403794158402888	0.03571428571428571	0.5343257807232763
