gene_id	condition	log2fold_change	p_value	p_value_corrected	base_mean
102724370	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
81872	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
55811	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105377660	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105373786	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105369818	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105377654	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105372345	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107986273	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100861549	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
353299	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
101929181	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
196394	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105371649	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
127550	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100500880	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
101928461	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105378085	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105378612	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
57608	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107985258	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107986056	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
102465521	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
400946	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
27254	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
1961	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
100505536	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105369601	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
107985998	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
441432	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
101928906	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
5757	Experimental	-0.49861559470349154	5.939515475120303e-07	0.00033626840920114733	17170.333333333336
100131496	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105377015	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
101929372	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
728228	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105370092	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
105373527	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
112714	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
414061	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
221188	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
8822	Experimental	2.331183873061394	1.7506863034903292e-06	0.00033626840920114733	0.6999999999999998
